datetime,stock_code,news,aspect,sentiment
2023-01-03,TXMD,"(RTTNews) - TherapeuticsMD Inc. (TXMD) Tuesday announced that it has completed its previously announced transaction to license its products to Mayne Pharma Group Ltd., an Australian specialty pharmaceutical company.",M&A | Investments,0
2023-01-03,VALN,"Investors might want to bet on Valneva SE Sponsored ADR (VALN), as it has been recently upgraded to a Zacks Rank #2 (Buy). This rating change essentially reflects an upward trend in earnings estimates -- one of the most powerful forces impacting stock prices.",Stock Commentary,1
2023-01-03,TCN,"Investors in Tricon Residential Inc. TCN need to pay close attention to the stock based on moves in the options market lately. That is because the Jan 20, 2023 $5.00 Call had some of the highest implied volatility of all equity options today.",Stock Commentary,0
2023-01-03,TCS,"Investors in The Container Store Group, Inc. TCS need to pay close attention to the stock based on moves in the options market lately. That is because the Jan 20, 2023 $2.50 Call had some of the highest implied volatility of all equity options today.",Stock Commentary,0
2023-01-03,ENSV,"InvestorPlace - Stock Market News, Stock Advice & Trading Tips",Earnings,0
2023-01-03,MGIC,"Here at Zacks, we focus on our proven ranking system, which places an emphasis on earnings estimates and estimate revisions, to find winning stocks. But we also understand that investors develop their own strategies, so we are constantly looking at the latest trends in va",Financials,0
2023-01-03,RMED,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,MDXG,"(RTTNews) - MiMedx Group, Inc. (MDXG), a biomedical firm, said on Tuesday that it has appointed Ricci Whitlow as Chief Operating Officer.",Personnel Change,0
2023-01-03,MDVL,"Centene Corporation CNC is expected to remain on its growth track with the help of increasing memberships and a strong focus on business streamlining. Nevertheless, weakness in Commercial business continues to tighten.",Company | Product News,0
2023-01-03,MCAC,"Monterey Capital Acquisition Corporation, a blank check company formed for the purpose of effecting a business combination, and ConnectM Technology Solutions, Inc., a vertically integrated clean energy technology and solutions provider for buildings and all-electric OEMs, announced today the signing of a definitive merger agreement.",M&A | Investments,0
2023-01-03,MBTCU,"Cognos Therapeutics is a medical technology company focused on developing unique, radically advanced devices for the treatment of neurological diseases including brain and spinal cancers, and degenerative neurological conditions, epilepsy, and stroke. Cognos' lead product candidate is the SINNAIS TM Implantable Smart Pump, believed to be the world's...",Company | Product News,0
2023-01-03,ADTX,"Health care stocks were ending mostly lower Tuesday afternoon, with the NYSE Health Care Index and the Health Care Select Sector SPDR Fund (XLV) both easing around 0.3%.",Markets,-1
2023-01-03,ADTX,"Health care stocks were mostly lower this Tuesday afternoon, with the NYSE Health Care Index sinking 0.8% while the Health Care Select Sector SPDR Fund (XLV) was down 0.7%.",Markets,-1
2023-01-03,AIRG,Airgain (AIRG) shares ended the last trading session 6.4% higher at $6.51. The jump came on an impressive volume with a higher-than-average number of shares changing hands in the session. This compares to the stock's 24.6% loss over the past four weeks.,Stock Movement,1
2023-01-03,BLZE,"Backblaze, Inc. (BLZE) shares soared 7.1% in the last trading session to close at $6.15. The move was backed by solid volume with far more shares changing hands than in a normal session. This compares to the stock's 28.1% gain over the past four weeks.",Stock Movement,1
2023-01-03,LEDS,"(RTTNews) - SemiLEDs Corp. (LEDS), a Taiwanese developer of LED chips and LED components, reported Tuesday that its first-quarter net loss attributable to stockholders was $512 thousand, compared to a loss of $1.1 million in the preceding fourth quarter.",Company | Product News,0
2023-01-03,BIOX,"Consumer stocks were mostly lower in Tuesday trading, with the Consumer Staples Select Sector SPDR Fund (XLP) and the Consumer Discretionary Select Sector SPDR Fund (XLY) both retreating about 0.5%.",Markets,0
2023-01-03,BIVI,"The three most widely followed indexes declined on Friday to close the last week of 2022 with a loss. The tech-heavy Nasdaq Composite fell 0.3% in the week, while the S&amp;P 500 and the Dow Jones Industrial Average lost 0.1% and 0.2%, respectively.",Markets,0
2023-01-03,BNR,"(RTTNews) - Burning Rock (BNR), a company focused on the application of next generation sequencing (NGS) technology in the field of precision oncology, announced Tuesday that its OverC Multi-Cancer Detection Blood Test (MCDBT) has been granted Breakthrough Device Designation by t",Company | Product News,0
2023-01-03,JUPW,"As the saying goes, there are many possible reasons for an insider to sell a stock, but only one reason to buy -- they expect to make money. So let's look at two noteworthy recent insider buys.",General News | Opinion,0
2023-01-03,JSPR,"(RTTNews) - Jasper Therapeutics, Inc. (JSPR) shares are surging more than 259 percent on Tuesday morning trade after the biotech company announced positive clinical data from Phase1/II trial of its anti-c-KIT monoclonal antibody Briquilimab to an existing bone marrow transplantat",Stock Movement,1
2023-01-03,CMMB,"(RTTNews) - Chemomab Therapeutics, Ltd. (CMMB) is up 35% in premarket trading Tuesday after reporting positive topline results from its NASH trial.",Stock Movement,1
2023-01-03,AGAC,"A former chief financial officer of multiple special purpose acquisition companies (SPACs) has pleaded guilty to embezzling more than $5 million from them, and losing almost all of it trading meme stocks and cryptocurrencies.",Legal | Regulation,0
2023-01-03,EAI,"The U.S. investment-grade primary bond market is kicking off 2023 with a rush of new offerings, as companies take advantage of a favourable market window to get ahead of potentially more volatility and a possible economic recession.",Treasuries | Corporate Debt,0
2023-01-03,CYN,"Technology stocks were advancing pre-bell Tuesday, as the Technology Select Sector SPDR Fund (XLK) and the iShares Semiconductor ETF (SOXX) were both rising more than 1%.",Markets,1
2023-01-03,DSL,"King Dollar's reign (definitely) coming to an end, bonds bouncing and emerging markets rising again are just some of the trades international money managers are betting on in 2023.",Currencies,0
2023-01-03,DFP,I heard the same question from readers all through 2022: when will we back up the truck and start buying again?,General News | Opinion,0
2023-01-03,III,Investors with an interest in Consulting Services stocks have likely encountered both Information Services Group (III) and Accenture (ACN). But which of these two stocks offers value investors a better bang for their buck right now? We'll need to take a closer look.,Stock Commentary,0
2023-01-03,ELBM,"In trading on Tuesday, education &amp; training services shares were relative leaders, up on the day by about 2%. Leading the group were shares of Gaotu Techedu, up about 29.4% and shares of AFYA up about 3.7% on the day. Also showing relative strength are precious metals shar",Stock Movement,1
2023-01-03,BAK,"Legendary investor Warren Buffett advises to be fearful when others are greedy, and be greedy when others are fearful. One way we can try to measure the level of fear in a given stock is through a technical analysis indicator called the Relative Strength Index, or RSI, which m",General News | Opinion,0
2023-01-03,HSTM,"Health care stocks were mostly lower this Tuesday afternoon, with the NYSE Health Care Index sinking 0.8% while the Health Care Select Sector SPDR Fund (XLV) was down 0.7%.",Markets,-1
2023-01-03,HSTM,"Health care stocks were ending mostly lower Tuesday afternoon, with the NYSE Health Care Index and the Health Care Select Sector SPDR Fund (XLV) both easing around 0.3%.",Markets,-1
2023-01-03,EVAX,"(RTTNews) - Biotech company Evaxion Biotech A/S (EVAX) announced Tuesday that the U.S. Food and Drug Administration or FDA, determined that the Company may proceed with its Phase 2b clinical trial of EVX-01.",Company | Product News,-1
2023-01-03,EZFL,"Energy stocks extended their Tuesday declines during afternoon trading, with the NYSE Energy Sector Index and the Energy Select Sector SPDR Fund (XLE) both dropping 3.8%. The Philadelphia Oil Service Sector index also was dropping 4.8% while the Dow Jones US Utilities Index was",Markets,0
2023-01-03,EZFL,"Energy stocks were trading sharply lower this Tuesday afternoon, with the NYSE Energy Sector Index falling 3.1% and the Energy Select Sector SPDR Fund (XLE) down 3.6%. The Philadelphia Oil Service Sector index also was dropping 4.3% while the Dow Jones US Utilities Index was sli",Energy | Oil,-1
2023-01-03,GEG,"(RTTNews) - Shares of Great Elm Group, Inc. (GEG) jumped over 30% in extended session on Tuesday after the company announced a sale of its majority interest in Durable Medical Equipment business to QHM Holdings, Inc., a wholly-owned subsidiary of Quipt Home Medical Corp. (QIPT).",Stock Movement,1
2023-01-03,GRRR,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,FATBP,"--FAT Brands Inc., a leading global franchising company and parent company of iconic brands including Round Table Pizza, Fatburger, Johnny Rockets, Twin Peaks, Fazoli’ s and 12 other restaurant concepts, today announced their participation in the 2023 ICR Conference. FAT Brands is a leading global franchising company that strategically acquires, markets and...",Company | Product News,0
2023-01-03,CTKB,"Legendary investor Warren Buffett advises to be fearful when others are greedy, and be greedy when others are fearful. One way we can try to measure the level of fear in a given stock is through a technical analysis indicator called the Relative Strength Index, or RSI, which m",General News | Opinion,0
2023-01-03,SENS,"One of Asia's largest private banks, Bank of Singapore, has appointed Jason Moo, formerly of wealth manager Julius Baer, as its new chief executive from March 6, the bank said on Tuesday.",Personnel Change,0
2023-01-03,MAG,"MAG Silver Corp. MAG announced that the operator of the Juanicipio Project, Fresnillo Plc. FNLPF, confirmed the completion of the final testing of the downstream power distribution and control systems at the project.Located in Zacatecas, Mexico, Juanicipio Project is a jo",Company | Product News,0
2023-01-03,ALPS,"Alpine Summit Energy Partners, Inc. is pleased to announce that, in accordance with its current monthly dividend policy, the Board of Directors of the Company has declared a dividend of US $0.0315 per subordinate voting share for the month of January 2023. Simultaneously with declaring the dividend on the subordinate voting shares, the directors also...",Dividend,0
2023-01-03,SILO,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,KEP,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,SONX,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,GRRR,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-03,PEGY,(RTTNews) - The following are some of the stocks making big moves in Tuesday's pre-market trading (as of 07.10 A.M. ET).,Stock Commentary,0
2023-01-04,LILAK,"In trading on Wednesday, shares of Liberty Latin America Ltd (Symbol: LILAK) crossed above their 200 day moving average of $8.00, changing hands as high as $8.06 per share. Liberty Latin America Ltd shares are currently trading up about 1.4% on the day. The chart below shows",Stock Movement,1
2023-01-04,DSL,It's rare to see two bad years in a row. I have a hunch that 2023 may rhyme with 2009. Bear markets don't usually last longer than a year. A spectacular shakeout early in the year could set the stage for a steady grind higher later on.,General News | Opinion,0
2023-01-04,BCLI,"(RTTNews) - Stem cell therapeutics developer BrainStorm Cell Therapeutics Inc. (BCLI) announced Wednesday the promotion of Stacy Lindborg to the role of Co-Chief Executive Officer. She will work alongside Chaim Lebovits, who is retaining his position as President and CEO.",Company | Product News,0
2023-01-04,PCK,"Shares in several municipal bond closed-end funds managed by U.S. bond giant Pacific Investment Management Co. (PIMCO) fell on Wednesday, a day after the asset manager cut monthly distributions on nine municipal funds.",Stock Movement,-1
2023-01-04,LXFR,"Bank OZK announced its Board of Directors declared a quarterly cash dividend on the Bank's common stock of $0.34 per share, up $0.01, or 3.03% from the prior quarter. The common stock dividend is payable on January 24, 2023 to shareholders of record as of January 17, 2023. Ban",Dividend,1
2023-01-04,TISI,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,NXU,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,MMV,"--MultiMetaVerse Inc., an animation and entertainment company devoted to establishing an open community for its global users and to providing high-quality and immersive entertainment experiences, and Model Performance Acquisition Corp., a special purpose acquisition company, announced the completion of their business combination.",Company | Product News,0
2023-01-04,HUDAU,"--Hudson Acquisition I Corp., today announced that it received written notice from the Listing Qualifications Department of the Nasdaq Stock Market stating that the Company has regained compliance with the Nasdaq Listing rule 5250 (c) and the matter is now closed. On December 9, 2022, the Company received a standard notice of noncompliance from Nasdaq...",Company | Product News,0
2023-01-04,IGIC,The following are today's upgrades for Validea's Small-Cap Growth Investor model based on the published strategy of Motley Fool. This strategy looks for small cap growth stocks with solid fundamentals and strong price performance.CENTRAL VALLEY COMMUNITY BANCORP (CVCY) is a small,Company | Product News,0
2023-01-04,CMMB,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,OBLG,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,LFMDP,"--LifeMD, Inc., a leading direct-to-patient telehealth company, today announced the appointment of Jessica Friedeman as Chief Marketing Officer. Her intimate knowledge of the patient journey, combined with her experience scaling B2B and B2C healthcare technology companies, will be integral in promoting the value of LifeMD to our current and future members,”...",Personnel Change,0
2023-01-04,KNW,"Know Labs, Inc., an emerging developer of non-invasive medical diagnostic technology, today announced it has been granted a new foundational patent that equates the company’ s Bio-RFID TM diagnostic technology to a current reference standard for glucose monitoring, widely used by diabetes researchers, hospital labs and glucose meter manufacturers, and...",Company | Product News,0
2023-01-04,QUAD,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,BRN,"Australian shares on Wednesday rebounded from a two-month low hit in the previous session, led by gains in banking and mining stocks, while investors awaited minutes from the U.S. Federal Reserve's last meeting.",Markets,1
2023-01-04,PMX,"Shares in several municipal bond closed-end funds managed by U.S. bond giant Pacific Investment Management Co. (PIMCO) fell on Wednesday, a day after the asset manager cut monthly distributions on nine municipal funds.",Stock Movement,-1
2023-01-04,CULP,"Bargain hunters are wise to pay careful attention to insider buying, because although there are many various reasons for an insider to sell a stock, presumably the only reason they would use their hard-earned dollars to make a purchase, is that they expect to make money. Today",General News | Opinion,0
2023-01-04,GGAL,Argentina's economy ministry said Tuesday it managed to extend the maturities of around 3 trillion pesos ($16.8 billion) in debt following a debt swap that saw a lot of interest from banking entities.,Macro,0
2023-01-04,VVOS,"(RTTNews) - Vivos Therapeutics, Inc. (VVOS) announced a brand new clearance from the FDA for its DNA appliance. The company said the FDA 510(k) clearance as a Class II device gives rise to a completely new treatment regimen for mild-to-moderate obstructive sleep apnea. The device",Company | Product News,1
2023-01-04,VVOS,"Health care stocks finished narrowly mixed Wednesday afternoon, with the NYSE Health Care Index slipping 0.2% while the Health Care Select Sector SPDR Fund (XLV) was up 0.3%.",Markets,0
2023-01-04,GOSS,"Gossamer Bio (GOSS) appears an attractive pick, as it has been recently upgraded to a Zacks Rank #2 (Buy). This rating change essentially reflects an upward trend in earnings estimates -- one of the most powerful forces impacting stock prices.",Analyst Update,1
2023-01-04,DKDCA,"MINNEAPOLIS, MN and LONDON, UK/ ACCESSWIRE/ January 4, 2023/ OneMedNet Corporation, an experienced curator of regulatory-grade Imaging Real Word Data has continued the process to become a publicly-listed company through a merger with Data Knights Acquisition Corp., a special purpose acquisition company, when Data Knights submitted its second amendment to...",Company | Product News,0
2023-01-04,MLP,The following are today's upgrades for Validea's Small-Cap Growth Investor model based on the published strategy of Motley Fool. This strategy looks for small cap growth stocks with solid fundamentals and strong price performance.CENTRAL VALLEY COMMUNITY BANCORP (CVCY) is a small,Company | Product News,0
2023-01-04,INM,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,RGP,"The following companies are expected to report earnings after hours on 01/04/2023. Visit our Earnings Calendar for a full list of expected earnings releases.Simulations Plus, Inc. (SLP)is reporting for the quarter ending November 30, 2022. The computer software company's consens",Earnings,0
2023-01-04,EYEN,"Bargain hunters are wise to pay careful attention to insider buying, because although there are many various reasons for an insider to sell a stock, presumably the only reason they would use their hard-earned dollars to make a purchase, is that they expect to make money. Today",General News | Opinion,0
2023-01-04,KMDA,"(RTTNews) - Kamada Ltd. (KMDA) announced it has submitted an application to the FDA to manufacture CYTOGAM at its facility in Beit Kama, Israel. The application was submitted as a prior approval supplement. The company noted that its currently available inventory of CYTOGAM is su",Company | Product News,-1
2023-01-04,PCK,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
2023-01-04,TRVG,"""Momentum investing is essentially the opposite of the tried-and-tested Wall Street adage -- """"buy low and sell high."""" Investors following this investing style typically avoid betting on cheap stocks and waiting long for them to recover. They believe instead that one could""",General News | Opinion,0
2023-01-04,SBEV,Consumer stocks were steady pre-bell Wednesday. The Consumer Staples Select Sector SPDR Fund (XLP) and the Consumer Discretionary Select Sector SPDR Fund (XLY) were recently inactive.,Markets,0
2023-01-04,PCQ,"Shares in several municipal bond closed-end funds managed by U.S. bond giant Pacific Investment Management Co. (PIMCO) fell on Wednesday, a day after the asset manager cut monthly distributions on nine municipal funds.",Stock Movement,-1
2023-01-04,GOSS,"Gossamer Bio (GOSS) has been on a downward spiral lately with significant selling pressure. After declining 13.6% over the past four weeks, the stock looks well positioned for a trend reversal as it is now in oversold territory and there is strong agreement among Wall Str",Stock Commentary,-1
2023-01-04,KLTR,"(RTTNews) - In a Form 8-K filing with the U.S. Securities and Exchange Commission on Wednesday, software company Kaltura, Inc. revealed that its Board of Directors approved on January 3, 2023 a re-organization plan that includes, among other things, downsizing approximately 11% o",Legal | Regulation,0
2023-01-04,NVX,"Australian shares on Wednesday rebounded from a two-month low hit in the previous session, led by gains in banking and mining stocks, while investors awaited minutes from the U.S. Federal Reserve's last meeting.",Markets,1
2023-01-04,IMMP,"Health care stocks finished narrowly mixed Wednesday afternoon, with the NYSE Health Care Index slipping 0.2% while the Health Care Select Sector SPDR Fund (XLV) was up 0.3%.",Markets,0
2023-01-04,IMMP,"Health care stocks were moderately higher this Wednesday afternoon, with the NYSE Health Care Index rising 0.4% while the Health Care Select Sector SPDR Fund (XLV) was up 0.3%.",Markets,1
2023-01-04,IMMX,(RTTNews) - Hadasit Medical Research Services and Development and BIRAD - Research & Development Company Ltd. have entered into the research and license agreement with Immix BioPharma for the development and commercialization of tissue specific therapeutics based on anti-BCMA CAR,Company | Product News,0
2023-01-04,RGP,"Resources Connection (RGP) came out with quarterly earnings of $0.59 per share, beating the Zacks Consensus Estimate of $0.41 per share. This compares to earnings of $0.47 per share a year ago. These figures are adjusted for non-recurring items.",Financials,1
2023-01-04,TKLF,"--Yoshitsu Co., Ltd, a retailer and wholesaler of Japanese beauty and health products, sundry products, and other products in Japan, today announced that it plans to expand its product portfolio with a diverse food product segment that it expects will enable it to achieve higher sales volume to increase the Company’ s profitability.. As previously disclosed in a...",Company | Product News,0
2023-01-04,CHEK,(RTTNews) - The following are some of the stocks making big moves in Wednesday's pre-market trading (as of 06.50 A.M. ET).,Stock Commentary,0
